UG;UGM;C1;C2;C3
UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;2000;0;
SEM;25%;0;0;2000;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;4000;0;
SKM;25%;0;0;2000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;2000;0;
SEM;25%;0;0;2000;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;0;2000;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;50%;0;4000;0;
SKM;25%;0;0;2000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;0;2000;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;4000;0;
SKM;25%;0;0;2000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;2000;0;
SEM;25%;0;0;2000;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;2000;0;
SEM;25%;0;0;2000;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;4000;0;
SKM;25%;0;0;2000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;4000;0;
SKM;25%;0;0;2000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;4000;0;
SKM;25%;2000;0;0;
SEM;25%;0;0;2000;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;2000;0;
SEM;25%;0;0;2000;

UG;UGM;C1;C2;C3
CR;50%;0;4000;0;
SKM;25%;0;0;2000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;2000;0;
SEM;25%;0;0;2000;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;2000;0;
SEM;25%;0;0;2000;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;4000;0;
SKM;25%;0;0;2000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;2000;0;
SEM;25%;0;0;2000;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;2000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;0;2000;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;0;2000;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;50%;0;4000;0;
SKM;25%;0;0;2000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;2000;0;
SEM;25%;0;0;2000;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;2000;0;
SEM;25%;0;0;2000;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;4000;0;
SKM;25%;0;0;2000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;0;0;4000;
SKM;25%;0;2000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;50%;4000;0;0;
SKM;25%;0;2000;0;
SEM;25%;0;0;2000;

